Keraunos PredicThor Energy.
Reporte generado por: http://ktws.keraunos.co/predicthorEnergy/
Diagnóstico de fallas.

Relación de rayos que ocurrieron en la zona de visualización.
Fecha, Latitud, Longitud, Corriente (kA), Altitud (km), Tipo, Error(km)
"2021-03-02 02:08:25.809", 3.5112, -75.1369, 8.9, 0, 1, 0.102
"2021-03-02 02:08:42.297", 3.5231, -75.1353, -17.9, 0, 1, 0.477
"2021-03-02 02:08:42.415", 3.565, -75.1276, -16.4, 0, 1, 0.687
"2021-03-02 02:08:42.486", 3.5942, -75.1137, -15.2, 0, 1, 0.235
"2021-03-02 02:08:42.679", 3.4865, -75.1815, -8.3, 0, 1, 0.4
"2021-03-02 02:08:42.679", 3.5526, -75.1668, -7.4, 0, 1, 0.227
"2021-03-02 02:09:32.836", 3.5436, -75.1388, 3.4, 0, 1, 0.175
"2021-03-02 02:10:01.364", 3.469, -75.1276, 5.1, 0, 1, 0.292
"2021-03-02 02:10:01.364", 3.3871, -75.0844, -20.5, 0, 1, 0.308
"2021-03-02 02:10:30.906", 3.506, -75.0756, -24, 0, 1, 0.391
"2021-03-02 02:10:30.928", 3.5064, -75.0808, -14.2, 0, 1, 0.48
"2021-03-02 02:10:30.946", 3.5174, -75.0832, -11.3, 0, 1, 0.161
"2021-03-02 02:10:30.969", 3.5085, -75.0807, -10.1, 0, 1, 0.408
"2021-03-02 02:10:31.047", 3.5065, -75.0804, -47.4, 0, 1, 0.442
"2021-03-02 02:10:31.536", 3.5001, -75.0743, -24.5, 0, 1, 0.403
"2021-03-02 02:10:31.559", 3.5007, -75.0787, -8.9, 0, 1, 0.412
"2021-03-02 02:11:20.547", 3.4649, -75.0179, 5.2, 0, 1, 0.124
"2021-03-02 02:11:20.548", 3.4638, -75.0171, 7, 8.3, 2, 0.05
"2021-03-02 02:11:46.681", 3.5334, -75.1319, -6.1, 0, 1, 0.225
"2021-03-02 02:11:46.687", 3.5356, -75.134, -96.2, 0, 1, 0.424
"2021-03-02 02:11:46.754", 3.5345, -75.1339, -44.1, 0, 1, 0.436
